Name,file size (bytes),#lospn ops
tretail_100_200_2_15_15_15_1.0_True_spn_0,3290224,383232
accidents_100_200_1_25_20_10_1.0_True_spn_0,3440616,150081
bbc_100_200_3_10_6_5_1.0_True_spn_0,3540592,159280
mnist_200_100_2_8_10_10_1.0_True_spn_0,3578984,176051
fashion_mnist_200_100_2_8_10_10_1.0_True_spn_0,3578984,178442
pumsb_star_100_200_2_15_15_15_1.0_True_spn_0,3619728,395843
cwebkb_100_200_2_10_8_8_1.0_True_spn_0,3718080,169159
fashion_mnist_200_100_1_9_10_10_1.0_True_spn_0,3724976,145127
mnist_200_100_1_9_10_10_1.0_True_spn_0,3724976,142319
dna_100_200_2_15_15_15_1.0_True_spn_0,3819600,403531
fashion_mnist_200_100_3_10_8_8_1.0_True_spn_0,3859944,223604
mnist_200_100_3_10_8_8_1.0_True_spn_0,3859944,221952
cr52_100_200_2_10_8_8_1.0_True_spn_0,3926280,177207
kosarek_100_200_2_15_15_15_1.0_True_spn_0,3934832,408035
c20ng_100_200_2_10_8_8_1.0_True_spn_0,4014040,180587
tretail_100_200_1_25_20_10_1.0_True_spn_0,4064704,174109
msweb_100_200_3_16_10_10_1.0_True_spn_0,4149840,395871
book_100_200_4_10_10_8_1.0_True_spn_0,4346496,396070
tmovie_100_200_4_10_10_8_1.0_True_spn_0,4346496,396076
